id,name,street_address,suburb,postcode,phone_number,url,monday_opens_at,monday_closes_at,tuesday_opens_at,tuesday_closes_at,wednesday_opens_at,wednesday_closes_at,thursday_opens_at,thursday_closes_at,friday_opens_at,friday_closes_at,saturday_opens_at,saturday_closes_at,sunday_opens_at,sunday_closes_at
3-weeds-hotel,3 Weeds Hotel,193 Evans St,Rozelle,2039,(02) 9818 2788,http://www.3weeds.com.au/,12:00:00,0:00:00,12:00:00,0:00:00,12:00:00,0:00:00,12:00:00,0:00:00,12:00:00,0:00:00,12:00:00,0:00:00,12:00:00,22:00:00
ab-hotel,AB Hotel,225 Glebe Point Rd,Glebe,2037,(02) 9660 1417,http://www.abhotel.com.au/,12:00:00,0:00:00,12:00:00,0:00:00,12:00:00,0:00:00,12:00:00,0:00:00,12:00:00,0:00:00,12:00:00,0:00:00,12:00:00,22:00:00
ablaze-grill-and-bar,Ablaze Grill and Bar,"The Entertainment Quarter Shop 211, F01 Driver Ave",Moore Park,2021,(02) 9360 0097,http://www.ablazegrill.com.au/,17:00:00,21:30:00,17:00:00,21:30:00,17:00:00,21:30:00,17:00:00,21:30:00,12:00:00,22:00:00,12:00:00,22:30:00,11:30:00,21:30:00
albion-place-hotel,Albion Place Hotel,531 George St,Sydney,2000,(02) 9993 0760,http://www.albionplacehotel.com.au/,10:00:00,2:00:00,10:00:00,2:00:00,10:00:00,2:00:00,10:00:00,2:00:00,10:00:00,2:00:00,10:00:00,2:00:00,10:00:00,22:00:00
angel-hotel,Angel Hotel,125 Pitt St,Sydney,2000,(02) 9233 3131,http://www.merivale.com/,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,12:00:00,0:00:00,12:00:00,0:00:00,12:00:00,0:00:00,0:00:00,0:00:00
aurora-hotel,Aurora Hotel,324 Elizabeth St,Surry Hills,2010,(02) 9211 3462,http://www.aurorahotel.com.au,0:00:00,23:59:00,0:00:00,23:59:00,0:00:00,23:59:00,0:00:00,23:59:00,0:00:00,23:59:00,0:00:00,23:59:00,0:00:00,23:59:00
bald-rock-hotel,Bald Rock Hotel,15-17 Mansfield St,Rozelle,2039,(02) 9818 4792,http://www.baldrockhotel.com.au,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,1:00:00,11:00:00,1:00:00,11:00:00,22:00:00
balmain-belgian-beer-cafe,Balmain Belgian Beer Cafe,82 Darling St,East Balmain,2041,(02) 9810 1663,http://www.belgian-beer-cafe.com.au/balmain.html,12:00:00,3:00:00,12:00:00,3:00:00,12:00:00,3:00:00,12:00:00,3:00:00,12:00:00,3:00:00,12:00:00,3:00:00,12:00:00,3:00:00
bank-hotel,Bank Hotel,324 King St,Newtown,2042,(02) 8568 1900,http://www.bankhotel.com.au/,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,2:00:00,10:00:00,2:00:00,10:00:00,4:00:00,10:00:00,4:00:00,10:00:00,0:00:00
bar-bondi,Bar Bondi,78 Campbell Parade,Bondi Beach,2026,(02) 9365 3687,http://www.bbsbondi.com.au/,17:00:00,3:00:00,17:00:00,3:00:00,17:00:00,3:00:00,17:00:00,3:00:00,17:00:00,3:00:00,17:00:00,3:00:00,17:00:00,3:00:00
